#L=%d, T=%.2f 
# E     M 
-380.00 12345.00 
-864.00 12345.00 
-1164.00 12345.00 
-1452.00 12345.00 
-1740.00 12345.00 
-2068.00 12345.00 
-2356.00 12345.00 
-2548.00 12345.00 
-2744.00 12345.00 
-2920.00 12345.00 
-3080.00 12345.00 
-3212.00 12345.00 
-3444.00 12345.00 
-3660.00 12345.00 
-3776.00 12345.00 
-3940.00 12345.00 
-4140.00 12345.00 
-4236.00 12345.00 
-4392.00 12345.00 
-4512.00 12345.00 
-4640.00 12345.00 
-4752.00 12345.00 
-4844.00 12345.00 
-4956.00 12345.00 
-5072.00 12345.00 
-5124.00 12345.00 
-5240.00 12345.00 
-5316.00 12345.00 
-5380.00 12345.00 
-5496.00 12345.00 
-5564.00 12345.00 
-5640.00 12345.00 
-5708.00 12345.00 
-5800.00 12345.00 
-5884.00 12345.00 
-5944.00 12345.00 
-6020.00 12345.00 
-6100.00 12345.00 
-6180.00 12345.00 
-6260.00 12345.00 
-6320.00 12345.00 
-6368.00 12345.00 
-6400.00 12345.00 
-6496.00 12345.00 
-6556.00 12345.00 
-6652.00 12345.00 
-6696.00 12345.00 
-6740.00 12345.00 
-6820.00 12345.00 
-6876.00 12345.00 
-6916.00 12345.00 
-6956.00 12345.00 
-7000.00 12345.00 
-7064.00 12345.00 
-7124.00 12345.00 
-7160.00 12345.00 
-7200.00 12345.00 
-7240.00 12345.00 
-7288.00 12345.00 
-7380.00 12345.00 
-7460.00 12345.00 
-7508.00 12345.00 
-7572.00 12345.00 
-7624.00 12345.00 
-7676.00 12345.00 
-7712.00 12345.00 
-7752.00 12345.00 
-7784.00 12345.00 
-7812.00 12345.00 
-7864.00 12345.00 
-7896.00 12345.00 
-7952.00 12345.00 
-7996.00 12345.00 
-8044.00 12345.00 
-8056.00 12345.00 
-8080.00 12345.00 
-8092.00 12345.00 
-8128.00 12345.00 
-8160.00 12345.00 
-8188.00 12345.00 
-8224.00 12345.00 
-8264.00 12345.00 
-8312.00 12345.00 
-8336.00 12345.00 
-8364.00 12345.00 
-8392.00 12345.00 
-8404.00 12345.00 
-8404.00 12345.00 
-8424.00 12345.00 
-8448.00 12345.00 
-8480.00 12345.00 
-8520.00 12345.00 
-8552.00 12345.00 
-8576.00 12345.00 
-8616.00 12345.00 
-8640.00 12345.00 
-8668.00 12345.00 
-8708.00 12345.00 
-8728.00 12345.00 
-8736.00 12345.00 
-8776.00 12345.00 
-8800.00 12345.00 
-8828.00 12345.00 
-8864.00 12345.00 
-8872.00 12345.00 
-8876.00 12345.00 
-8928.00 12345.00 
-8944.00 12345.00 
-8972.00 12345.00 
-8980.00 12345.00 
-9004.00 12345.00 
-9020.00 12345.00 
-9060.00 12345.00 
-9112.00 12345.00 
-9136.00 12345.00 
-9168.00 12345.00 
-9184.00 12345.00 
-9224.00 12345.00 
-9276.00 12345.00 
-9300.00 12345.00 
-9344.00 12345.00 
-9372.00 12345.00 
-9396.00 12345.00 
-9420.00 12345.00 
-9440.00 12345.00 
-9460.00 12345.00 
-9468.00 12345.00 
-9496.00 12345.00 
-9532.00 12345.00 
-9580.00 12345.00 
-9604.00 12345.00 
-9628.00 12345.00 
-9672.00 12345.00 
-9704.00 12345.00 
-9728.00 12345.00 
-9764.00 12345.00 
-9800.00 12345.00 
-9808.00 12345.00 
-9844.00 12345.00 
-9880.00 12345.00 
-9916.00 12345.00 
-9936.00 12345.00 
-9960.00 12345.00 
-10000.00 12345.00 
-10040.00 12345.00 
-10056.00 12345.00 
-10088.00 12345.00 
-10116.00 12345.00 
-10116.00 12345.00 
-10128.00 12345.00 
-10152.00 12345.00 
-10168.00 12345.00 
-10164.00 12345.00 
-10172.00 12345.00 
-10176.00 12345.00 
-10184.00 12345.00 
-10216.00 12345.00 
-10236.00 12345.00 
-10248.00 12345.00 
-10264.00 12345.00 
-10296.00 12345.00 
-10304.00 12345.00 
-10324.00 12345.00 
