#L=%d, T=%.2f 
# E     M 
-35.20 2.00 
-36.80 6.80 
-40.80 -0.40 
-43.20 -17.20 
-36.00 2.00 
-28.00 -4.40 
-45.60 -12.40 
-36.00 -4.00 
-34.40 -9.20 
-29.60 0.40 
-37.60 -3.20 
-38.40 -1.60 
-27.20 -4.00 
-36.80 4.80 
-36.80 0.40 
-40.80 -6.80 
-33.60 -8.40 
-32.00 -6.00 
-46.40 -10.40 
-29.60 0.80 
-33.60 -8.80 
-31.20 -8.00 
-45.60 -14.00 
-41.60 -1.60 
-41.60 4.00 
-28.80 -11.60 
-31.20 -20.80 
-20.80 -6.40 
-40.00 9.20 
-38.40 -6.40 
-29.60 -10.80 
-29.60 0.00 
-32.80 -9.20 
-38.40 9.60 
-33.60 -7.20 
-28.80 6.40 
-35.20 -12.80 
-40.00 9.60 
-29.60 -9.60 
-28.00 -2.00 
-45.60 -7.60 
-33.60 -3.60 
-41.60 -2.00 
-33.60 -12.40 
-32.80 -2.80 
-44.00 -19.60 
-45.60 -26.00 
-42.40 0.40 
-34.40 7.20 
-28.80 -2.00 
-36.80 -14.80 
-39.20 -5.20 
-36.00 0.40 
-36.80 -10.00 
-35.20 1.60 
-46.40 -13.60 
-28.00 -20.80 
-27.20 -0.40 
-45.60 4.40 
-37.60 -8.40 
-42.40 -4.80 
-41.60 3.20 
-28.00 -6.00 
-43.20 -7.20 
-21.60 -6.00 
-44.80 6.80 
-40.00 -20.00 
-28.80 3.20 
-34.40 0.00 
-29.60 8.80 
-32.80 -1.20 
-43.20 -7.20 
-32.00 -0.40 
-36.00 -6.80 
-44.00 -20.00 
-33.60 -3.60 
-40.00 8.80 
-28.00 -1.60 
-33.60 -7.60 
-44.00 -17.20 
-47.20 -2.40 
-36.80 -14.80 
-32.80 -2.00 
-31.20 0.80 
-46.40 -4.00 
-34.40 1.60 
-34.40 -19.20 
-45.60 -23.60 
-37.60 -5.20 
-30.40 -10.80 
-40.80 -3.20 
-33.60 -6.80 
-33.60 2.00 
-24.80 -1.60 
-36.80 -8.40 
-46.40 -12.00 
-36.80 -14.40 
-32.00 -10.00 
-28.80 6.00 
-33.60 -5.20 
-41.60 -15.60 
-52.80 -28.80 
-30.40 -4.80 
-45.60 -2.00 
-33.60 -14.00 
-40.00 -8.80 
-34.40 0.00 
-40.80 11.20 
-47.20 -15.60 
-36.00 -3.60 
-32.80 0.80 
-25.60 -0.80 
-44.00 -1.20 
-44.00 -7.20 
-29.60 -8.40 
-48.80 -25.60 
-36.00 -8.80 
-39.20 -10.40 
-37.60 -14.40 
-32.00 -2.80 
-32.80 4.40 
-36.80 12.00 
-44.00 -19.60 
-38.40 -4.00 
-36.00 -0.80 
-32.80 -10.00 
-34.40 -2.80 
-38.40 -3.20 
-36.80 -7.60 
-50.40 -18.80 
-37.60 7.20 
-27.20 -5.20 
-40.00 -2.40 
-28.00 1.20 
-46.40 -0.80 
-37.60 -18.80 
-23.20 -6.00 
-39.20 -10.40 
-29.60 8.40 
-41.60 -19.60 
-24.00 5.20 
-32.80 0.00 
-30.40 -9.20 
-28.80 6.40 
-33.60 -4.00 
-32.00 -10.80 
-44.80 -22.40 
-47.20 -20.00 
-34.40 -2.80 
-28.00 -7.20 
-27.20 -5.20 
-32.80 11.20 
-40.00 -14.80 
-28.00 -8.40 
-35.20 7.20 
-28.00 -0.80 
-32.80 -7.20 
-29.60 -4.40 
-39.20 -18.00 
-42.40 -17.60 
-40.80 -8.00 
-30.40 -5.60 
-34.40 5.20 
-41.60 -7.60 
-32.80 1.20 
-36.00 1.20 
-46.40 -10.40 
-33.60 9.20 
-48.00 -23.20 
-41.60 -2.00 
-41.60 5.20 
-36.00 -1.20 
-45.60 -22.80 
-44.00 4.00 
-27.20 -4.80 
-33.60 -9.60 
-27.20 0.40 
-44.00 -6.40 
-33.60 1.60 
-37.60 -12.80 
-20.80 -6.00 
-40.80 -8.40 
-28.00 14.00 
-32.00 -13.60 
-34.40 8.40 
-44.00 -18.00 
-40.00 9.60 
-32.00 10.80 
-29.60 8.40 
-44.00 -13.60 
-33.60 -1.20 
-40.00 -5.60 
-40.00 -4.00 
-33.60 -8.40 
-47.20 -6.80 
-30.40 -3.60 
-29.60 -5.60 
-39.20 -10.00 
-28.00 -6.00 
-37.60 -5.60 
-32.80 -8.80 
-45.60 -4.80 
-30.40 0.00 
-33.60 0.80 
-29.60 5.20 
-37.60 -5.60 
-42.40 0.40 
-28.80 -1.20 
-40.80 -18.40 
-32.80 -10.40 
-55.20 -7.60 
-29.60 12.40 
-25.60 -8.40 
-36.00 3.20 
-35.20 -4.40 
-33.60 7.20 
-28.00 -9.60 
-16.00 -4.00 
-53.60 -19.60 
-41.60 -17.20 
-35.20 -3.60 
-32.00 -8.40 
-32.00 -8.00 
-33.60 0.00 
-24.80 6.00 
-27.20 4.80 
