#L=%d, T=%.2f 
# E     M 
-8.00 0.00 
-40.00 8.00 
-8.00 6.00 
-12.00 0.00 
-28.00 -18.00 
-12.00 -6.00 
-20.00 0.00 
-28.00 -12.00 
-12.00 10.00 
-16.00 0.00 
-8.00 0.00 
-32.00 -12.00 
-16.00 -14.00 
-20.00 8.00 
-16.00 0.00 
-28.00 -18.00 
-40.00 -26.00 
-28.00 -16.00 
-8.00 2.00 
-20.00 16.00 
-12.00 -4.00 
-32.00 8.00 
-20.00 14.00 
-16.00 -14.00 
-44.00 -26.00 
-20.00 -18.00 
-24.00 -12.00 
-32.00 16.00 
-24.00 -12.00 
-12.00 -16.00 
-32.00 -24.00 
-24.00 2.00 
-20.00 20.00 
0.00 12.00 
-4.00 -2.00 
8.00 2.00 
-28.00 -16.00 
-48.00 30.00 
-28.00 -16.00 
-20.00 -10.00 
-28.00 -12.00 
-16.00 -6.00 
-16.00 -10.00 
-24.00 -18.00 
-16.00 10.00 
-32.00 -24.00 
-36.00 8.00 
-8.00 10.00 
-24.00 -8.00 
-40.00 26.00 
-4.00 -8.00 
-28.00 18.00 
-44.00 28.00 
-32.00 22.00 
-8.00 2.00 
-16.00 0.00 
-32.00 -22.00 
-16.00 -14.00 
-8.00 -12.00 
-16.00 -18.00 
-12.00 2.00 
-8.00 10.00 
-12.00 -8.00 
0.00 0.00 
-12.00 6.00 
-8.00 2.00 
-4.00 -4.00 
-28.00 -20.00 
-12.00 6.00 
-16.00 14.00 
-8.00 -4.00 
-16.00 -4.00 
-12.00 -6.00 
-20.00 -6.00 
-8.00 2.00 
-12.00 0.00 
-16.00 -12.00 
-28.00 -24.00 
-4.00 -2.00 
-20.00 -14.00 
-8.00 -10.00 
-12.00 14.00 
-12.00 -4.00 
-16.00 -4.00 
-28.00 -16.00 
-28.00 -8.00 
-16.00 0.00 
-24.00 4.00 
-36.00 -24.00 
-16.00 16.00 
-28.00 6.00 
-12.00 0.00 
-16.00 6.00 
-24.00 0.00 
-4.00 0.00 
-28.00 8.00 
-28.00 -4.00 
-32.00 -22.00 
-24.00 -14.00 
-8.00 2.00 
-40.00 24.00 
-12.00 14.00 
-24.00 -6.00 
-12.00 4.00 
-32.00 4.00 
-52.00 28.00 
-52.00 30.00 
-20.00 8.00 
-20.00 -8.00 
-24.00 6.00 
-24.00 -16.00 
-12.00 -2.00 
-8.00 2.00 
-8.00 0.00 
-16.00 6.00 
-36.00 4.00 
-28.00 -14.00 
-12.00 -2.00 
-28.00 2.00 
-32.00 -18.00 
-4.00 10.00 
-12.00 -12.00 
-12.00 -10.00 
-8.00 -4.00 
-16.00 10.00 
-8.00 -14.00 
-20.00 2.00 
-4.00 -12.00 
-16.00 8.00 
-40.00 20.00 
-16.00 8.00 
-32.00 -12.00 
-16.00 -4.00 
-8.00 -16.00 
-36.00 -16.00 
-28.00 10.00 
-28.00 -6.00 
-20.00 -2.00 
-16.00 4.00 
-16.00 8.00 
-12.00 -8.00 
-20.00 18.00 
-28.00 -14.00 
-16.00 2.00 
-20.00 6.00 
-8.00 -4.00 
-20.00 0.00 
-12.00 10.00 
-20.00 -14.00 
-12.00 -2.00 
-4.00 8.00 
-28.00 16.00 
-12.00 2.00 
-60.00 32.00 
-16.00 -8.00 
-28.00 -18.00 
-40.00 -22.00 
-52.00 -30.00 
-4.00 -2.00 
-32.00 -24.00 
-28.00 -2.00 
-12.00 -4.00 
-20.00 -4.00 
-24.00 2.00 
-8.00 -4.00 
-20.00 10.00 
-12.00 -2.00 
-12.00 -2.00 
-8.00 8.00 
-16.00 6.00 
-4.00 0.00 
-16.00 -4.00 
-24.00 -14.00 
-12.00 4.00 
-12.00 -10.00 
-12.00 -6.00 
-12.00 12.00 
-32.00 18.00 
-12.00 -12.00 
-16.00 -6.00 
-32.00 20.00 
-8.00 10.00 
-28.00 20.00 
-32.00 -22.00 
-16.00 6.00 
-36.00 -22.00 
-20.00 -18.00 
-20.00 0.00 
-20.00 16.00 
-20.00 -6.00 
-12.00 -14.00 
-12.00 8.00 
-12.00 6.00 
-28.00 16.00 
-24.00 -4.00 
-32.00 20.00 
-28.00 20.00 
-16.00 12.00 
-12.00 8.00 
-20.00 -20.00 
-32.00 -12.00 
-40.00 -24.00 
-20.00 -6.00 
-16.00 -8.00 
-16.00 10.00 
-20.00 -6.00 
8.00 4.00 
-20.00 -8.00 
-20.00 10.00 
-36.00 -4.00 
-24.00 -8.00 
-20.00 -8.00 
-12.00 -12.00 
-28.00 8.00 
-4.00 -8.00 
-24.00 -10.00 
-20.00 -6.00 
-12.00 6.00 
-32.00 4.00 
-20.00 16.00 
-20.00 0.00 
-44.00 18.00 
-16.00 -16.00 
-12.00 -2.00 
-24.00 -18.00 
-24.00 8.00 
-36.00 26.00 
-16.00 -8.00 
-12.00 -10.00 
-16.00 -8.00 
-16.00 -18.00 
-12.00 8.00 
-32.00 -24.00 
-20.00 8.00 
-16.00 12.00 
-24.00 -6.00 
-4.00 6.00 
-16.00 -16.00 
-16.00 6.00 
-8.00 2.00 
0.00 4.00 
-4.00 -6.00 
-12.00 0.00 
-16.00 -4.00 
-16.00 18.00 
-20.00 4.00 
-12.00 -6.00 
-24.00 -18.00 
-16.00 -4.00 
-20.00 12.00 
-24.00 0.00 
-28.00 -18.00 
-16.00 6.00 
-20.00 14.00 
-12.00 16.00 
-24.00 12.00 
-12.00 -6.00 
-12.00 8.00 
-4.00 -2.00 
-40.00 -24.00 
-8.00 6.00 
-36.00 14.00 
-36.00 22.00 
-24.00 22.00 
-40.00 -22.00 
-12.00 2.00 
-16.00 10.00 
-12.00 -12.00 
-28.00 -10.00 
-8.00 4.00 
-28.00 -2.00 
-32.00 0.00 
12.00 -6.00 
-8.00 0.00 
-24.00 16.00 
-16.00 0.00 
-16.00 6.00 
-24.00 0.00 
-32.00 -20.00 
-16.00 4.00 
-28.00 12.00 
-12.00 2.00 
-24.00 -16.00 
-16.00 -2.00 
-20.00 6.00 
-24.00 4.00 
-32.00 -12.00 
-12.00 -8.00 
-12.00 -8.00 
-20.00 -4.00 
-20.00 0.00 
-32.00 20.00 
-16.00 10.00 
-32.00 -26.00 
-12.00 -4.00 
-28.00 12.00 
-12.00 -10.00 
-8.00 10.00 
-20.00 -6.00 
-12.00 -4.00 
-20.00 6.00 
-20.00 -4.00 
-20.00 14.00 
-32.00 12.00 
-8.00 2.00 
-24.00 4.00 
-24.00 14.00 
-36.00 22.00 
-16.00 6.00 
-20.00 -12.00 
-12.00 6.00 
-20.00 14.00 
-20.00 12.00 
-28.00 0.00 
-12.00 -8.00 
-16.00 -14.00 
-28.00 -6.00 
-20.00 0.00 
0.00 0.00 
-12.00 0.00 
-16.00 12.00 
-8.00 0.00 
-20.00 0.00 
-12.00 6.00 
-32.00 24.00 
-20.00 2.00 
-8.00 -4.00 
-28.00 -12.00 
-32.00 -2.00 
-28.00 22.00 
-24.00 0.00 
-20.00 -14.00 
-20.00 16.00 
-24.00 4.00 
0.00 -6.00 
-20.00 -4.00 
-24.00 18.00 
-20.00 -2.00 
-40.00 -22.00 
-28.00 6.00 
-12.00 -6.00 
-8.00 6.00 
-24.00 -6.00 
-12.00 6.00 
-32.00 -12.00 
-12.00 4.00 
-16.00 -10.00 
-20.00 -2.00 
-16.00 6.00 
-28.00 8.00 
-24.00 -4.00 
-20.00 -20.00 
-32.00 -6.00 
-8.00 -8.00 
0.00 -10.00 
-48.00 30.00 
-20.00 8.00 
-20.00 -6.00 
-20.00 -10.00 
-12.00 0.00 
-28.00 12.00 
-36.00 -18.00 
-32.00 -12.00 
-24.00 -16.00 
-28.00 -8.00 
-16.00 2.00 
-20.00 -6.00 
-36.00 -26.00 
-44.00 24.00 
-16.00 6.00 
0.00 -4.00 
-16.00 12.00 
-16.00 8.00 
-16.00 22.00 
-12.00 8.00 
-24.00 8.00 
-12.00 4.00 
4.00 6.00 
-8.00 -8.00 
-16.00 8.00 
-24.00 8.00 
-36.00 14.00 
-16.00 8.00 
-12.00 8.00 
-32.00 14.00 
0.00 4.00 
-24.00 -20.00 
-28.00 -22.00 
-16.00 -18.00 
-12.00 -4.00 
-20.00 -16.00 
-20.00 -8.00 
-20.00 -8.00 
-12.00 -10.00 
-8.00 10.00 
-12.00 18.00 
4.00 2.00 
-4.00 12.00 
-24.00 4.00 
-24.00 4.00 
-32.00 24.00 
-16.00 0.00 
-16.00 -8.00 
-12.00 6.00 
-20.00 0.00 
-8.00 -10.00 
-16.00 4.00 
-20.00 -14.00 
-32.00 20.00 
-12.00 10.00 
-20.00 12.00 
-12.00 -8.00 
-24.00 -10.00 
-16.00 12.00 
-20.00 8.00 
-8.00 2.00 
-4.00 0.00 
-48.00 -24.00 
-20.00 -18.00 
-24.00 -8.00 
-28.00 -10.00 
-20.00 -6.00 
-20.00 10.00 
-20.00 4.00 
-4.00 8.00 
