#L=%d, T=%.2f 
# E     M 
-4364.00 12345.00 
-6564.00 12345.00 
-7712.00 12345.00 
-8584.00 12345.00 
-9384.00 12345.00 
-9936.00 12345.00 
-10444.00 12345.00 
-10840.00 12345.00 
-11176.00 12345.00 
-11524.00 12345.00 
-11824.00 12345.00 
-12136.00 12345.00 
-12376.00 12345.00 
-12540.00 12345.00 
-12740.00 12345.00 
-12968.00 12345.00 
-13124.00 12345.00 
-13216.00 12345.00 
-13400.00 12345.00 
-13532.00 12345.00 
-13684.00 12345.00 
-13836.00 12345.00 
-13904.00 12345.00 
-13972.00 12345.00 
-14088.00 12345.00 
-14132.00 12345.00 
-14200.00 12345.00 
-14300.00 12345.00 
-14352.00 12345.00 
-14452.00 12345.00 
-14528.00 12345.00 
-14636.00 12345.00 
-14664.00 12345.00 
-14732.00 12345.00 
-14792.00 12345.00 
-14900.00 12345.00 
-14948.00 12345.00 
-14964.00 12345.00 
-15032.00 12345.00 
-15088.00 12345.00 
-15112.00 12345.00 
-15168.00 12345.00 
-15224.00 12345.00 
-15252.00 12345.00 
-15336.00 12345.00 
-15376.00 12345.00 
-15400.00 12345.00 
-15428.00 12345.00 
-15464.00 12345.00 
-15464.00 12345.00 
-15536.00 12345.00 
-15576.00 12345.00 
-15584.00 12345.00 
-15600.00 12345.00 
-15656.00 12345.00 
-15720.00 12345.00 
-15736.00 12345.00 
-15748.00 12345.00 
-15804.00 12345.00 
-15792.00 12345.00 
-15808.00 12345.00 
-15852.00 12345.00 
-15884.00 12345.00 
-15932.00 12345.00 
-15960.00 12345.00 
-16032.00 12345.00 
-16024.00 12345.00 
-16052.00 12345.00 
-16072.00 12345.00 
-16124.00 12345.00 
-16128.00 12345.00 
-16108.00 12345.00 
-16148.00 12345.00 
-16212.00 12345.00 
-16260.00 12345.00 
-16284.00 12345.00 
-16320.00 12345.00 
-16360.00 12345.00 
-16380.00 12345.00 
-16420.00 12345.00 
-16424.00 12345.00 
-16420.00 12345.00 
-16448.00 12345.00 
-16460.00 12345.00 
-16504.00 12345.00 
-16516.00 12345.00 
-16516.00 12345.00 
-16544.00 12345.00 
-16560.00 12345.00 
-16572.00 12345.00 
-16544.00 12345.00 
-16588.00 12345.00 
-16632.00 12345.00 
-16644.00 12345.00 
-16672.00 12345.00 
-16672.00 12345.00 
-16676.00 12345.00 
-16712.00 12345.00 
-16704.00 12345.00 
-16692.00 12345.00 
-16728.00 12345.00 
-16772.00 12345.00 
-16820.00 12345.00 
-16816.00 12345.00 
-16876.00 12345.00 
-16876.00 12345.00 
-16892.00 12345.00 
-16904.00 12345.00 
-16920.00 12345.00 
-16924.00 12345.00 
-16912.00 12345.00 
-16928.00 12345.00 
-16940.00 12345.00 
-16972.00 12345.00 
-16976.00 12345.00 
-16980.00 12345.00 
-17012.00 12345.00 
-17056.00 12345.00 
-17080.00 12345.00 
-17104.00 12345.00 
-17084.00 12345.00 
-17116.00 12345.00 
-17104.00 12345.00 
-17148.00 12345.00 
-17160.00 12345.00 
-17152.00 12345.00 
-17132.00 12345.00 
-17168.00 12345.00 
-17200.00 12345.00 
-17212.00 12345.00 
-17196.00 12345.00 
-17188.00 12345.00 
-17216.00 12345.00 
-17244.00 12345.00 
-17264.00 12345.00 
-17264.00 12345.00 
-17304.00 12345.00 
-17296.00 12345.00 
-17308.00 12345.00 
-17324.00 12345.00 
-17368.00 12345.00 
-17376.00 12345.00 
-17400.00 12345.00 
-17372.00 12345.00 
-17404.00 12345.00 
-17408.00 12345.00 
-17452.00 12345.00 
-17480.00 12345.00 
-17496.00 12345.00 
-17472.00 12345.00 
-17468.00 12345.00 
-17480.00 12345.00 
-17528.00 12345.00 
-17532.00 12345.00 
-17516.00 12345.00 
-17524.00 12345.00 
-17500.00 12345.00 
-17532.00 12345.00 
-17560.00 12345.00 
-17532.00 12345.00 
-17516.00 12345.00 
-17532.00 12345.00 
-17512.00 12345.00 
-17524.00 12345.00 
-17540.00 12345.00 
-17552.00 12345.00 
-17536.00 12345.00 
-17544.00 12345.00 
-17556.00 12345.00 
-17568.00 12345.00 
-17592.00 12345.00 
-17588.00 12345.00 
-17624.00 12345.00 
-17620.00 12345.00 
-17644.00 12345.00 
-17632.00 12345.00 
-17652.00 12345.00 
-17656.00 12345.00 
-17664.00 12345.00 
-17652.00 12345.00 
-17676.00 12345.00 
-17668.00 12345.00 
-17712.00 12345.00 
-17720.00 12345.00 
-17732.00 12345.00 
-17752.00 12345.00 
-17740.00 12345.00 
-17780.00 12345.00 
-17784.00 12345.00 
-17788.00 12345.00 
-17820.00 12345.00 
-17828.00 12345.00 
-17820.00 12345.00 
-17832.00 12345.00 
-17868.00 12345.00 
-17864.00 12345.00 
-17896.00 12345.00 
-17892.00 12345.00 
-17924.00 12345.00 
-17912.00 12345.00 
-17892.00 12345.00 
-17948.00 12345.00 
-17956.00 12345.00 
-17964.00 12345.00 
-17920.00 12345.00 
-17964.00 12345.00 
-17968.00 12345.00 
-18004.00 12345.00 
-17956.00 12345.00 
-17972.00 12345.00 
-17996.00 12345.00 
-18004.00 12345.00 
-18016.00 12345.00 
-18052.00 12345.00 
-18044.00 12345.00 
-18088.00 12345.00 
-18072.00 12345.00 
-18088.00 12345.00 
-18092.00 12345.00 
-18104.00 12345.00 
-18108.00 12345.00 
-18088.00 12345.00 
-18080.00 12345.00 
-18116.00 12345.00 
-18136.00 12345.00 
-18104.00 12345.00 
-18108.00 12345.00 
-18148.00 12345.00 
-18156.00 12345.00 
-18148.00 12345.00 
-18160.00 12345.00 
-18204.00 12345.00 
-18200.00 12345.00 
-18180.00 12345.00 
-18212.00 12345.00 
-18216.00 12345.00 
-18212.00 12345.00 
-18200.00 12345.00 
-18184.00 12345.00 
-18172.00 12345.00 
-18208.00 12345.00 
-18196.00 12345.00 
-18220.00 12345.00 
-18228.00 12345.00 
-18276.00 12345.00 
-18268.00 12345.00 
-18260.00 12345.00 
-18252.00 12345.00 
-18256.00 12345.00 
-18288.00 12345.00 
-18288.00 12345.00 
-18304.00 12345.00 
-18308.00 12345.00 
-18308.00 12345.00 
-18328.00 12345.00 
-18328.00 12345.00 
-18360.00 12345.00 
-18344.00 12345.00 
-18352.00 12345.00 
-18372.00 12345.00 
-18392.00 12345.00 
-18380.00 12345.00 
-18384.00 12345.00 
-18384.00 12345.00 
-18376.00 12345.00 
-18396.00 12345.00 
-18420.00 12345.00 
-18416.00 12345.00 
-18404.00 12345.00 
-18436.00 12345.00 
-18424.00 12345.00 
-18408.00 12345.00 
-18440.00 12345.00 
-18456.00 12345.00 
-18460.00 12345.00 
-18476.00 12345.00 
-18428.00 12345.00 
-18456.00 12345.00 
-18452.00 12345.00 
-18456.00 12345.00 
-18464.00 12345.00 
-18472.00 12345.00 
-18504.00 12345.00 
-18504.00 12345.00 
-18516.00 12345.00 
-18544.00 12345.00 
-18548.00 12345.00 
-18556.00 12345.00 
-18552.00 12345.00 
-18528.00 12345.00 
-18552.00 12345.00 
-18580.00 12345.00 
-18592.00 12345.00 
-18572.00 12345.00 
-18616.00 12345.00 
-18608.00 12345.00 
-18616.00 12345.00 
-18592.00 12345.00 
-18644.00 12345.00 
-18640.00 12345.00 
-18664.00 12345.00 
-18632.00 12345.00 
-18620.00 12345.00 
-18616.00 12345.00 
-18616.00 12345.00 
-18640.00 12345.00 
-18656.00 12345.00 
-18644.00 12345.00 
-18660.00 12345.00 
-18648.00 12345.00 
-18696.00 12345.00 
-18716.00 12345.00 
-18684.00 12345.00 
-18648.00 12345.00 
-18664.00 12345.00 
-18676.00 12345.00 
-18684.00 12345.00 
-18708.00 12345.00 
-18692.00 12345.00 
-18696.00 12345.00 
-18700.00 12345.00 
-18676.00 12345.00 
-18704.00 12345.00 
-18712.00 12345.00 
-18732.00 12345.00 
-18716.00 12345.00 
-18732.00 12345.00 
-18736.00 12345.00 
-18732.00 12345.00 
-18764.00 12345.00 
-18756.00 12345.00 
-18748.00 12345.00 
-18760.00 12345.00 
-18760.00 12345.00 
-18748.00 12345.00 
-18776.00 12345.00 
-18792.00 12345.00 
-18768.00 12345.00 
-18788.00 12345.00 
-18792.00 12345.00 
-18800.00 12345.00 
-18816.00 12345.00 
-18808.00 12345.00 
-18800.00 12345.00 
-18788.00 12345.00 
-18812.00 12345.00 
-18816.00 12345.00 
-18840.00 12345.00 
-18848.00 12345.00 
-18856.00 12345.00 
-18868.00 12345.00 
-18864.00 12345.00 
-18856.00 12345.00 
-18864.00 12345.00 
-18876.00 12345.00 
-18868.00 12345.00 
-18860.00 12345.00 
-18876.00 12345.00 
-18892.00 12345.00 
-18896.00 12345.00 
-18872.00 12345.00 
-18904.00 12345.00 
-18896.00 12345.00 
-18916.00 12345.00 
-18916.00 12345.00 
-18932.00 12345.00 
-18900.00 12345.00 
-18868.00 12345.00 
-18868.00 12345.00 
-18920.00 12345.00 
-18912.00 12345.00 
-18880.00 12345.00 
-18896.00 12345.00 
-18912.00 12345.00 
-18896.00 12345.00 
-18880.00 12345.00 
-18936.00 12345.00 
-18932.00 12345.00 
-18972.00 12345.00 
-18956.00 12345.00 
-18932.00 12345.00 
-18956.00 12345.00 
-18972.00 12345.00 
-18944.00 12345.00 
-18944.00 12345.00 
-18944.00 12345.00 
-18948.00 12345.00 
-18944.00 12345.00 
-18940.00 12345.00 
-18952.00 12345.00 
-18956.00 12345.00 
-18972.00 12345.00 
-18964.00 12345.00 
-18964.00 12345.00 
