#L=%d, T=%.2f 
# E     M 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-292.00 12345.00 
-300.00 12345.00 
-300.00 12345.00 
-300.00 12345.00 
-300.00 12345.00 
-300.00 12345.00 
-300.00 12345.00 
-300.00 12345.00 
-300.00 12345.00 
-300.00 12345.00 
-300.00 12345.00 
-300.00 12345.00 
-300.00 12345.00 
-300.00 12345.00 
-300.00 12345.00 
-300.00 12345.00 
-300.00 12345.00 
-300.00 12345.00 
-300.00 12345.00 
-300.00 12345.00 
-300.00 12345.00 
