#L=%d, T=%.2f 
# E     M     E^2     M^2
-2168.00000000 148.00000000 0.00000000 0.00000000
-2160.00000000 142.00000000 0.00000000 0.00000000
-2140.00000000 140.00000000 0.00000000 0.00000000
-2156.00000000 144.00000000 0.00000000 0.00000000
-2164.00000000 142.00000000 0.00000000 0.00000000
-2164.00000000 152.00000000 0.00000000 0.00000000
-2184.00000000 138.00000000 0.00000000 0.00000000
-2148.00000000 118.00000000 0.00000000 0.00000000
-2156.00000000 106.00000000 0.00000000 0.00000000
-2156.00000000 92.00000000 0.00000000 0.00000000
-2144.00000000 96.00000000 0.00000000 0.00000000
-2120.00000000 88.00000000 0.00000000 0.00000000
-2140.00000000 88.00000000 0.00000000 0.00000000
-2144.00000000 84.00000000 0.00000000 0.00000000
-2120.00000000 80.00000000 0.00000000 0.00000000
-2116.00000000 82.00000000 0.00000000 0.00000000
-2124.00000000 76.00000000 0.00000000 0.00000000
-2116.00000000 80.00000000 0.00000000 0.00000000
-2116.00000000 76.00000000 0.00000000 0.00000000
-2140.00000000 74.00000000 0.00000000 0.00000000
-2148.00000000 76.00000000 0.00000000 0.00000000
-2164.00000000 78.00000000 0.00000000 0.00000000
-2184.00000000 70.00000000 0.00000000 0.00000000
-2200.00000000 68.00000000 0.00000000 0.00000000
-2200.00000000 68.00000000 0.00000000 0.00000000
-2204.00000000 68.00000000 0.00000000 0.00000000
-2192.00000000 74.00000000 0.00000000 0.00000000
-2220.00000000 82.00000000 0.00000000 0.00000000
-2244.00000000 90.00000000 0.00000000 0.00000000
-2256.00000000 80.00000000 0.00000000 0.00000000
-2236.00000000 92.00000000 0.00000000 0.00000000
-2220.00000000 108.00000000 0.00000000 0.00000000
-2220.00000000 108.00000000 0.00000000 0.00000000
-2220.00000000 114.00000000 0.00000000 0.00000000
-2200.00000000 108.00000000 0.00000000 0.00000000
-2252.00000000 94.00000000 0.00000000 0.00000000
-2288.00000000 96.00000000 0.00000000 0.00000000
-2264.00000000 94.00000000 0.00000000 0.00000000
-2272.00000000 88.00000000 0.00000000 0.00000000
-2260.00000000 70.00000000 0.00000000 0.00000000
-2264.00000000 64.00000000 0.00000000 0.00000000
-2272.00000000 62.00000000 0.00000000 0.00000000
-2296.00000000 56.00000000 0.00000000 0.00000000
