#L=%d, T=%.2f 
# E     M 
-2360.00 12345.00 
-2360.00 12345.00 
-2344.00 12345.00 
-2344.00 12345.00 
-2344.00 12345.00 
-2340.00 12345.00 
-2340.00 12345.00 
-2368.00 12345.00 
-2376.00 12345.00 
-2368.00 12345.00 
-2368.00 12345.00 
-2376.00 12345.00 
-2364.00 12345.00 
-2364.00 12345.00 
-2364.00 12345.00 
-2368.00 12345.00 
-2360.00 12345.00 
-2356.00 12345.00 
-2356.00 12345.00 
-2368.00 12345.00 
-2360.00 12345.00 
-2372.00 12345.00 
-2384.00 12345.00 
-2384.00 12345.00 
-2388.00 12345.00 
-2392.00 12345.00 
-2380.00 12345.00 
-2372.00 12345.00 
-2348.00 12345.00 
-2352.00 12345.00 
-2340.00 12345.00 
-2344.00 12345.00 
-2348.00 12345.00 
-2356.00 12345.00 
-2368.00 12345.00 
-2360.00 12345.00 
-2368.00 12345.00 
-2368.00 12345.00 
-2364.00 12345.00 
-2368.00 12345.00 
-2352.00 12345.00 
-2364.00 12345.00 
-2356.00 12345.00 
-2336.00 12345.00 
-2340.00 12345.00 
-2344.00 12345.00 
-2328.00 12345.00 
-2324.00 12345.00 
-2324.00 12345.00 
-2332.00 12345.00 
-2328.00 12345.00 
-2324.00 12345.00 
-2328.00 12345.00 
-2324.00 12345.00 
-2324.00 12345.00 
-2340.00 12345.00 
-2340.00 12345.00 
-2340.00 12345.00 
-2332.00 12345.00 
-2336.00 12345.00 
-2336.00 12345.00 
-2332.00 12345.00 
-2348.00 12345.00 
-2344.00 12345.00 
-2344.00 12345.00 
-2348.00 12345.00 
-2352.00 12345.00 
-2360.00 12345.00 
-2376.00 12345.00 
-2380.00 12345.00 
-2396.00 12345.00 
-2392.00 12345.00 
-2400.00 12345.00 
-2392.00 12345.00 
-2408.00 12345.00 
-2408.00 12345.00 
-2408.00 12345.00 
-2408.00 12345.00 
-2404.00 12345.00 
-2404.00 12345.00 
-2400.00 12345.00 
-2400.00 12345.00 
-2408.00 12345.00 
-2408.00 12345.00 
-2404.00 12345.00 
-2396.00 12345.00 
-2392.00 12345.00 
-2388.00 12345.00 
-2380.00 12345.00 
-2388.00 12345.00 
-2392.00 12345.00 
-2380.00 12345.00 
-2380.00 12345.00 
-2392.00 12345.00 
-2400.00 12345.00 
-2384.00 12345.00 
-2384.00 12345.00 
-2380.00 12345.00 
-2376.00 12345.00 
-2376.00 12345.00 
-2372.00 12345.00 
-2376.00 12345.00 
-2376.00 12345.00 
-2368.00 12345.00 
-2364.00 12345.00 
-2372.00 12345.00 
-2352.00 12345.00 
-2348.00 12345.00 
-2344.00 12345.00 
-2348.00 12345.00 
-2348.00 12345.00 
-2352.00 12345.00 
-2348.00 12345.00 
-2356.00 12345.00 
-2356.00 12345.00 
-2356.00 12345.00 
-2352.00 12345.00 
-2364.00 12345.00 
-2364.00 12345.00 
-2364.00 12345.00 
-2364.00 12345.00 
-2356.00 12345.00 
