#L=%d, T=%.2f 
# E     M 
-2072.00 12345.00 
-2064.00 12345.00 
-2000.00 12345.00 
-2044.00 12345.00 
-1876.00 12345.00 
-1788.00 12345.00 
-1852.00 12345.00 
-1836.00 12345.00 
-1820.00 12345.00 
-1788.00 12345.00 
-1600.00 12345.00 
-1772.00 12345.00 
-1792.00 12345.00 
-1848.00 12345.00 
-2004.00 12345.00 
-1956.00 12345.00 
-1980.00 12345.00 
-2024.00 12345.00 
-2148.00 12345.00 
-2036.00 12345.00 
-2032.00 12345.00 
-2112.00 12345.00 
-2076.00 12345.00 
-2164.00 12345.00 
-2052.00 12345.00 
-1808.00 12345.00 
-2036.00 12345.00 
-2028.00 12345.00 
-1952.00 12345.00 
-2144.00 12345.00 
-1920.00 12345.00 
-1976.00 12345.00 
-2084.00 12345.00 
-2192.00 12345.00 
-2124.00 12345.00 
-2144.00 12345.00 
-2040.00 12345.00 
-2104.00 12345.00 
-1920.00 12345.00 
-1912.00 12345.00 
-1976.00 12345.00 
-1944.00 12345.00 
-1792.00 12345.00 
-2008.00 12345.00 
-1932.00 12345.00 
-1900.00 12345.00 
-1848.00 12345.00 
-1896.00 12345.00 
-1812.00 12345.00 
-1784.00 12345.00 
-1832.00 12345.00 
-1804.00 12345.00 
-1900.00 12345.00 
-1888.00 12345.00 
-2048.00 12345.00 
-1924.00 12345.00 
-2088.00 12345.00 
-2160.00 12345.00 
-1968.00 12345.00 
-1928.00 12345.00 
-1960.00 12345.00 
-1960.00 12345.00 
-1992.00 12345.00 
-1860.00 12345.00 
-1700.00 12345.00 
-1800.00 12345.00 
-1800.00 12345.00 
-1948.00 12345.00 
-1864.00 12345.00 
-2044.00 12345.00 
-1780.00 12345.00 
-1816.00 12345.00 
-1956.00 12345.00 
-2032.00 12345.00 
-2124.00 12345.00 
-1888.00 12345.00 
-1884.00 12345.00 
-1844.00 12345.00 
-1968.00 12345.00 
-1936.00 12345.00 
-1968.00 12345.00 
-1960.00 12345.00 
-1788.00 12345.00 
-1932.00 12345.00 
-1960.00 12345.00 
-1888.00 12345.00 
-1808.00 12345.00 
-1972.00 12345.00 
-1984.00 12345.00 
-1960.00 12345.00 
-2044.00 12345.00 
-1816.00 12345.00 
-2020.00 12345.00 
-1944.00 12345.00 
-1788.00 12345.00 
-1908.00 12345.00 
-1752.00 12345.00 
-1948.00 12345.00 
-2104.00 12345.00 
-1984.00 12345.00 
-1884.00 12345.00 
-1992.00 12345.00 
-2236.00 12345.00 
-2116.00 12345.00 
-2048.00 12345.00 
-2012.00 12345.00 
