#L=%d, T=%.2f 
# E     M 
-660.00 12345.00 
-668.00 12345.00 
-600.00 12345.00 
-740.00 12345.00 
-728.00 12345.00 
-732.00 12345.00 
-776.00 12345.00 
-772.00 12345.00 
-732.00 12345.00 
-720.00 12345.00 
-840.00 12345.00 
-808.00 12345.00 
-820.00 12345.00 
-780.00 12345.00 
-696.00 12345.00 
-752.00 12345.00 
-732.00 12345.00 
-784.00 12345.00 
-880.00 12345.00 
-740.00 12345.00 
-812.00 12345.00 
-788.00 12345.00 
-800.00 12345.00 
-832.00 12345.00 
-876.00 12345.00 
-796.00 12345.00 
-720.00 12345.00 
-772.00 12345.00 
-724.00 12345.00 
-700.00 12345.00 
-728.00 12345.00 
-620.00 12345.00 
-644.00 12345.00 
-704.00 12345.00 
-788.00 12345.00 
-716.00 12345.00 
-664.00 12345.00 
-740.00 12345.00 
-752.00 12345.00 
-580.00 12345.00 
-756.00 12345.00 
-736.00 12345.00 
-684.00 12345.00 
-712.00 12345.00 
-716.00 12345.00 
-784.00 12345.00 
-824.00 12345.00 
-772.00 12345.00 
-884.00 12345.00 
-844.00 12345.00 
-836.00 12345.00 
-796.00 12345.00 
-860.00 12345.00 
-860.00 12345.00 
-740.00 12345.00 
-740.00 12345.00 
-772.00 12345.00 
-836.00 12345.00 
-796.00 12345.00 
-828.00 12345.00 
-828.00 12345.00 
-796.00 12345.00 
-816.00 12345.00 
-720.00 12345.00 
-672.00 12345.00 
-712.00 12345.00 
-684.00 12345.00 
-676.00 12345.00 
-772.00 12345.00 
-792.00 12345.00 
-784.00 12345.00 
-732.00 12345.00 
-756.00 12345.00 
-704.00 12345.00 
-768.00 12345.00 
-764.00 12345.00 
-716.00 12345.00 
-780.00 12345.00 
-780.00 12345.00 
-768.00 12345.00 
-788.00 12345.00 
-716.00 12345.00 
-740.00 12345.00 
-776.00 12345.00 
-772.00 12345.00 
-804.00 12345.00 
-736.00 12345.00 
-812.00 12345.00 
-840.00 12345.00 
-792.00 12345.00 
-816.00 12345.00 
