# L=6, T=4.0 
# E      M        E^2        M^2
-20.36    0.1     498.4     144.2
-20.76    -0.04     514.4     160.8
-20.16    0.04     487.68     159.36
-22.04    -0.88     619.68     181.76
-21.44    2.72     583.04     163.76
-21.12    0.9     549.12     150.2
-19.44    0.28     487.04     142.48
-19.52    -0.32     487.68     156.48
-20.44    2.64     501.92     144.24
-19.24    -0.56     459.04     138.64
-19.56    -0.2     486.56     141.6
-20.56    -2.52     526.08     150.4
-21.68    -1.32     587.52     174.96
-20.52    1.2     509.28     139.2
-19.88    -1.54     494.88     147.0
-20.88    -0.28     543.04     156.16
-21.72    0.6     585.76     161.12
-20.08    1.76     494.4     143.6
-20.48    1.46     514.56     144.52
-20.72    -2.66     511.36     136.36
-20.76    0.46     561.44     156.04
-20.52    -1.94     521.76     162.6
-21.16    1.08     557.92     165.28
-18.72    -2.68     442.56     124.8
-21.12    -0.74     571.52     178.28
-21.32    0.1     561.76     136.84
-23.48    -2.56     631.2     175.68
-18.48    1.2     441.6     114.48
-20.48    0.92     524.48     170.88
-18.12    -0.38     420.96     125.96
-20.96    -0.44     550.4     140.64
-20.36    -0.54     511.52     147.56
-20.48    -1.74     544.0     174.84
-22.2    0.86     601.76     154.28
-20.0    0.7     509.12     175.16
-19.16    -0.8     481.12     119.44
-19.56    1.52     487.84     146.4
-19.8    0.6     475.04     140.72
-21.64    -1.58     600.48     169.8
-19.12    -2.56     449.6     129.92
-18.6    1.28     428.32     107.92
-21.92    -1.3     595.84     159.4
-20.0    1.36     524.48     148.0
-20.0    -0.98     516.48     147.96
-20.44    -1.36     516.96     160.64
-19.56    -1.48     492.32     170.8
-19.4    -1.0     476.32     137.84
-19.76    1.76     511.04     130.96
-21.08    0.88     559.2     134.4
-20.76    -0.46     541.6     154.68
-19.2    1.78     451.2     114.52
-20.44    2.98     519.52     165.64
-20.16    0.52     488.32     125.44
-22.28    0.72     609.44     180.16
-21.68    -0.24     550.08     152.64
-20.0    3.12     517.76     172.32
-22.36    3.16     595.68     161.6
-20.52    -0.72     521.44     164.0
-19.56    1.08     493.92     148.96
-20.56    1.2     568.96     146.24
-21.48    0.02     585.44     173.8
-21.56    0.98     611.36     174.12
-21.08    -1.4     550.88     168.08
-20.28    1.54     503.2     136.68
-19.48    -1.64     500.32     135.44
-22.36    -0.24     605.92     180.24
-20.96    0.18     558.08     171.08
-21.76    1.24     594.24     171.76
-19.68    -0.42     487.68     147.08
-18.84    1.08     460.0     123.36
-20.32    0.46     492.16     141.64
-19.72    -1.16     473.44     164.48
