# L=10, T=4.0 
# E      M        E^2        M^2
-57.4    5.84     3564.0     454.72
-55.32    2.16     3428.32     401.2
-54.04    -1.66     3161.44     397.56
-56.72    -1.12     3490.88     352.08
-57.12    -1.58     3526.72     548.44
-55.04    1.46     3315.2     310.92
-56.68    -1.44     3443.36     464.48
-56.2    -1.42     3427.68     501.88
-56.24    0.54     3435.52     283.08
-53.68    -0.04     3200.64     388.8
-56.6    1.2     3540.0     343.36
-57.56    4.92     3565.28     432.4
-59.36    -1.94     3841.92     446.44
-59.16    0.9     3791.2     441.96
-56.76    0.32     3563.36     438.0
-55.8    -4.82     3378.08     490.36
-54.68    -2.2     3249.44     353.2
-54.88    -0.18     3289.92     411.88
-53.88    -2.5     3163.36     369.16
-54.84    -3.48     3230.56     362.96
-58.0    0.76     3618.56     482.56
-56.64    1.18     3471.36     387.24
-55.2    -0.9     3347.52     482.92
-57.04    -0.34     3496.0     453.72
-53.4    -0.4     3159.52     399.68
-55.64    2.38     3340.32     364.92
-55.0    -2.14     3283.68     405.4
-55.48    -0.5     3363.04     421.56
-54.32    -4.46     3228.16     374.68
-57.8    1.32     3536.48     352.72
-54.64    0.94     3288.64     393.88
-55.08    0.16     3381.92     354.96
-60.16    2.62     3830.08     523.72
-55.76    0.84     3399.68     398.72
-56.28    -1.22     3466.4     438.2
-55.12    1.08     3276.48     437.12
-56.04    -0.48     3484.96     460.0
-56.88    2.92     3555.84     424.8
-57.12    -3.92     3525.76     440.8
-55.6    -2.2     3350.4     341.44
-55.64    0.1     3334.24     505.24
-55.92    4.02     3353.92     444.84
-57.48    4.46     3597.6     459.96
-57.8    -1.98     3604.64     410.12
-56.84    1.12     3526.56     504.32
-55.44    -1.08     3324.16     477.44
-56.08    2.32     3430.72     464.08
-55.32    2.22     3339.68     390.76
-56.52    3.08     3514.4     402.8
-55.0    -1.02     3305.76     406.44
-54.04    -0.12     3178.08     455.28
-53.48    -1.5     3148.32     435.4
-55.36    -0.26     3353.6     514.28
-54.04    0.96     3192.48     364.96
-54.52    -2.22     3239.2     372.84
-58.64    -2.62     3785.92     534.28
-52.6    2.22     3015.52     388.2
-55.76    -0.5     3413.44     445.48
-56.48    -1.04     3433.92     426.88
-55.96    -1.14     3387.04     391.08
-57.12    -0.22     3543.68     394.92
-52.96    -1.76     3131.2     402.08
-55.72    2.28     3432.48     489.2
-57.84    -1.74     3620.16     492.44
-57.52    -1.4     3587.84     420.24
-55.64    -1.86     3438.88     434.68
-57.68    0.38     3574.4     487.24
-54.24    -0.96     3224.0     454.64
-56.36    -1.08     3483.36     349.92
-54.56    1.8     3259.2     408.32
-56.04    1.44     3350.88     371.28
-58.32    5.3     3626.24     482.36
-56.36    0.28     3493.92     514.48
-57.04    -3.04     3597.44     439.36
-56.72    0.34     3484.16     443.96
-56.12    2.24     3433.44     512.72
-55.84    4.1     3409.28     411.0
-54.32    -0.44     3254.08     454.64
